feature,importance,rank
ch2_hfd,0.051366224886365726,1
ch2_pfd,0.05072070981285159,2
ch2_rbp_rem,0.04510310623188852,3
ch1_pfd,0.04349935008720458,4
ch3_pfd,0.03480559317832214,5
ch3_hfd,0.03212900130990508,6
ch4_bp_n2,0.0255176814810237,7
ch1_bp_n2,0.021933880846394416,8
ch2_bp_n2,0.019350029915931,9
ch0_pfd,0.01930187624222331,10
ch0_hfd,0.019139521173111226,11
ch3_rbp_rem,0.0188304683751949,12
ch1_rbp_rem,0.018598110608003555,13
ch4_hfd,0.017295075820854322,14
ch0_rbp_n1,0.016872306853462513,15
ch0_rbp_rem,0.01529261367480725,16
ch2_rbp_n2,0.013495367279962155,17
ch3_rbp_n1,0.013085787291234137,18
ch0_bp_n2,0.012671208167273199,19
ch3_bp_n2,0.01266636734353959,20
ch1_hfd,0.011742834105981682,21
ch2_esis,0.010551880379522692,22
ch3_rbp_n3,0.01007437846525832,23
ch3_bp_n1,0.0099641550299061,24
ch0_esis,0.009875901252937861,25
ch0_bp_n1,0.00944464762456519,26
ch4_esis,0.009417711811862128,27
ch0_rbp_n2,0.009283970056549093,28
ch3_esis,0.008759184255903085,29
ch0_bp_wake,0.008758146394435192,30
ch4_pfd,0.00863149779442279,31
ch0_bp_n3,0.00845290870704631,32
ch3_rbp_n2,0.008441688820587118,33
ch0_rbp_wake,0.008088322664364864,34
ch3_kfd,0.007900966209039026,35
ch0_bp_rem,0.007707674751220807,36
ch3_rbp_wake,0.0076754813730177335,37
ch2_bp_wake,0.007091891665705062,38
ch2_bp_n1,0.007026401860917719,39
ch2_bp_rem,0.006821097692063165,40
ch4_rbp_n1,0.0068042662434269945,41
ch0_rbp_n3,0.006773280494873506,42
ch2_rbp_n1,0.00673075879633322,43
ch1_rbp_n2,0.006653422728494557,44
ch4_rbp_n2,0.006559530236415277,45
ch4_bp_n1,0.006514790706691724,46
ch1_esis,0.0064240468963695715,47
ch2_bp_n3,0.006256639798492991,48
ch4_rbp_rem,0.006246511346012975,49
ch0_fcentroid,0.006007923278811061,50
ch2_rbp_n3,0.005975188208967489,51
ch2_mmd,0.005870191363132984,52
ch0_fdom,0.005845338460262235,53
ch4_rbp_wake,0.0051423259170900295,54
ch1_std,0.004952942853821331,55
ch4_rbp_n3,0.00493878868219505,56
ch4_mmd,0.004921087098280926,57
ch3_bp_rem,0.004900646257320487,58
ch2_rbp_wake,0.004756646111371047,59
ch4_bp_rem,0.00472508077528457,60
ch3_bp_wake,0.004708901416081334,61
ch3_fdom,0.0046392125807115,62
ch0_std,0.004611476280758255,63
ch1_kfd,0.004609335952983979,64
ch4_bp_wake,0.0045722248042166696,65
ch0_min,0.004567252239923886,66
ch1_rbp_wake,0.004547079224870201,67
ch0_mmd,0.0044963634549080875,68
ch0_ptp,0.004483227894239573,69
ch1_bp_rem,0.004455008480416397,70
ch1_bp_n1,0.004421661839086352,71
ch0_kfd,0.004402712320760812,72
ch3_mmd,0.004335883842665089,73
ch3_bp_n3,0.004285095994327961,74
ch2_std,0.004268749984435871,75
ch2_kfd,0.0042339257751593425,76
ch3_fcentroid,0.004208476036304339,77
ch1_ptp,0.004185065671336926,78
ch1_rbp_n1,0.004106548139784067,79
ch1_max,0.004044279320420845,80
ch3_std,0.0039710703129520915,81
ch1_bp_n3,0.003941408819027975,82
ch1_rbp_n3,0.0038403698237556793,83
ch1_mmd,0.003775963312605031,84
ch4_bp_n3,0.003742023075470652,85
ch0_max,0.0036824221276860226,86
ch2_min,0.0036190610620436027,87
ch1_min,0.003614900545432219,88
ch3_max,0.00342892654482299,89
ch4_ptp,0.003411237012234628,90
ch4_std,0.0034098738392661816,91
ch2_ptp,0.003400971415001011,92
ch3_ptp,0.003394017412055502,93
ch2_fdom,0.003287254959759819,94
ch1_bp_wake,0.003280550312088295,95
ch4_min,0.0032292603592534532,96
ch2_max,0.003227682969050111,97
ch4_kfd,0.003213631976969151,98
ch4_max,0.00299277568935654,99
ch3_min,0.0029723544366783384,100
ch2_corr_prev,0.002645521899937533,101
ch3_corr_prev,0.0026414051618401588,102
ch2_fcentroid,0.002564342669745526,103
ch4_fcentroid,0.0025138760166842503,104
ch3_corr_next,0.002492967861199459,105
ch0_corr_next,0.002478248151351295,106
ch3_mean,0.002460401528088108,107
ch1_corr_prev,0.0024188149118698826,108
ch1_corr_next,0.0024124417760006717,109
ch2_mean,0.0023908351067163927,110
ch0_mean,0.002333352304995948,111
ch4_corr_prev,0.002304530196618968,112
ch1_mean,0.002271467641675691,113
ch2_corr_next,0.0022251837143874064,114
ch0_corr_prev,0.002222940812786871,115
ch4_corr_next,0.0021852674393779887,116
ch1_fcentroid,0.0021236247229483407,117
ch4_fdom,0.0021228102131145873,118
ch1_fdom,0.002089221422224049,119
ch4_mean,0.0020871191839867903,120
ch0_n3_amp_gt75,0.0004400639894277748,121
ch1_n3_amp_gt75,0.00016119717780974425,122
ch3_n3_amp_gt75,0.0001562312377198902,123
ch4_n3_amp_gt75,0.00012787358884127208,124
ch2_n3_amp_gt75,0.00012759626324389427,125
ch2_fmax,0.0,126
ch2_fmin,0.0,127
ch3_fmin,0.0,128
ch1_fmax,0.0,129
ch1_fmin,0.0,130
ch3_fmax,0.0,131
ch4_fmax,0.0,132
ch0_fmax,0.0,133
ch0_fmin,0.0,134
ch4_fmin,0.0,135
